gene,undifferentiated,differentiated
Serinc5,209,140
Map4k5,225,123
Arid3a,241,107
Dpy19l4,219,129
Spire2,180,168
Gadd45b,258,90
E2f2,214,134
Pip5k1c,201,147
Exoc8,191,157
Chaf1a,219,129
Tm9sf1,201,146
Parp2,220,127
Zfhx2,217,130
Ap5m1,195,152
Zfp7,214,134
Dph7,197,150
Ppt2,168,178
Cep55,226,121
Hps4,210,137
Tlcd3a,189,158
Mkks,200,147
Scn2a,208,139
Ercc6l,256,91
Cdyl,188,158
Yjefn3,148,198
Zfp280d,222,124
Cndp2,167,179
Svop,181,165
Irf1,211,135
B9d2,186,160
Shcbp1,237,109
Cdca2,228,118
Alg8,196,150
Gmeb2,198,148
Ablim3,159,187
Ercc5,207,138
Fbxl17,193,152
Akr1b10,215,130
Notch2,178,166
Ston2,189,156
Pex1,206,139
Rbm7,206,138
Sinhcaf,208,137
Yae1d1,182,163
Zfp938,176,168
Polrmt,156,188
Ccdc186,209,135
Dok1,193,151
Msrb3,218,126
Metap1d,203,141
Vps37b,223,121
Wdr24,178,166
Nit2,190,154
Kif13a,189,155
Aldh16a1,194,150
Pi4kb,181,162
Ccdc28a,192,151
Fdxr,193,150
Ccdc85c,200,143
Rtkn,197,146
Znhit6,206,137
Plekhf2,183,160
Haus1,187,156
Ccdc91,175,168
Ssx2ip,194,148
Stk38l,181,162
Rbm4b,223,120
Sptlc1,204,138
Pacsin3,78,264
Pkd1,207,135
Zfp354c,218,124
Lrp1,226,116
Ift57,188,154
Caml,187,155
Map2k5,176,166
Ndufaf6,186,155
Cmbl,180,161
Spc24,200,141
Mtf1,172,168
Gga3,195,146
Strada,207,134
Tmtc3,214,126
Cwc22,221,119
Zc2hc1a,191,149
Rita1,149,191
Shq1,202,138
Sgf29,176,164
Polr3a,211,129
Eml2,170,170
Vezt,186,154
Hook2,208,132
Frmd6,184,155
Aagab,175,164
Vps39,199,140
Tedc2,197,142
Trim3,204,135
Snx30,218,121
Nde1,209,130
Rab33b,199,140
Ppargc1b,214,125
Tprn,192,146
Iqschfp,214,124
Kdm4c,218,120
Qtrt2,197,141
Rtn4r,182,156
Mcph1,197,141
Polr3c,184,154
Ciao3,195,143
Mical2,225,113
Msantd4,193,145
Prr5,183,155
Snx13,184,153
Fkbp11,212,125
Hexim1,230,106
Lin54,209,128
Klhl36,181,156
Amdhd2,178,158
Ndst1,185,151
St6gal1,216,120
Alas1,153,183
Napb,171,165
Rmnd5b,193,143
Eral1,186,149
Rab3d,172,163
Mipep,189,146
Col3a1,226,109
Elac2,186,149
Traf3ip2,159,176
Phlpp1,185,150
Syne1,183,152
Mpst,187,148
Zfp1,210,125
Bach2,178,157
Ciart,144,192
Ctdp1,188,147
Zdhhc4,175,160
Fmnl3,195,140
Fam234a,166,169
Zfp251,192,143
Zic5,224,111
Trp53rka,194,140
Alkbh8,181,153
Phactr4,201,133
Brsk2,185,149
Grhl2,183,151
9430038I01Rik,192,142
Ppil1,217,117
Ankrd13b,186,148
Lhx2,194,140
Lgr4,175,159
Carm1,198,136
Trim62,192,142
Alkbh2,155,179
Nmral1,196,137
Raver1,175,158
Neurl1b,190,143
Mynn,195,138
Lclat1,194,139
Arl15,198,136
Macrod2,165,168
Celsr2,192,140
Leprot,204,128
Tspan15,158,175
Cpne1,210,122
Lrrcc1,215,117
Diras2,165,167
Kcnn3,183,149
Arl4d,179,153
Icam2,198,134
Tmem214,168,164
Vps18,154,177
Mtg2,183,148
Polk,187,144
Ddx20,201,130
Efna2,194,137
Emp1,209,122
Zfp334,181,150
Atf7,180,151
Smug1,177,154
Zfp26,194,136
Epc1,197,134
Smim12,182,148
Zfp319,169,161
Cited1,153,177
Mov10,198,132
Cpped1,171,159
Gfod2,169,160
Zfp384,187,142
Tasor,179,150
Ralgps1,194,135
Fam118a,182,147
Trappc12,181,148
Ino80c,191,138
Trak2,173,156
Micall1,199,130
Rab4b,169,160
Ube2e2,192,136
Arxes1,171,158
Vipas39,186,142
Rbpms,177,151
Rnf122,211,117
Rab11fip2,187,141
Gm49527,175,153
Paqr4,192,136
Fibp,199,129
Sapcd2,178,150
Cklf,211,117
Pex7,208,120
Gm21983,168,160
Ctc1,189,138
Six4,176,151
Casp9,180,147
Gm4779,193,134
Zxdb,182,144
Thap1,174,152
Rnf141,182,144
Retreg3,180,147
Tmem267,184,142
Aig1,148,178
Tyw5,194,132
Slc35g1,170,156
Spryd4,173,153
Vps37c,187,139
Smpd2,180,146
Gins1,203,123
Ric1,170,156
Sdc1,184,142
Zfp948,201,125
Prkcd,165,160
Snap23,188,137
Commd5,174,152
Gstm5,153,172
Rps6kc1,171,154
Lpin2,195,130
Mgme1,214,111
Sirt3,190,135
Mtx3,219,106
Ppp1r9a,154,171
Lrrc40,203,122
Btrc,193,132
Arhgef11,176,148
Iffo2,154,170
Rbm4,190,134
Pik3c3,199,125
Abhd14a,183,141
Pskh1,169,155
Txnrd2,160,164
Prmt9,162,162
Mettl22,162,162
Pdlim7,209,115
Tradd,189,135
Cyth1,190,134
Mideas,154,170
Dmrta2,180,144
St7l,176,148
Gpr89,176,148
Smim10l3,169,155
Rest,225,98
Stk32a,204,120
Atp13a2,192,132
Flcn,184,139
Cwf19l2,198,125
Klhl12,178,145
Slc25a16,186,137
Rab39b,176,147
Gprin1,179,144
Pabir2,179,144
Wasf3,201,122
Hivep2,177,146
Epdr1,159,164
Caap1,208,115
Frs2,200,122
Ska1,214,108
E2f6,175,147
Plxna4,228,94
Afap1,197,125
Ache,151,171
Haghl,185,137
Lrrc8b,169,153
Pcdh15,149,173
Asnsd1,180,141
Snapin,195,126
Gdf11,199,122
Celf6,196,125
Usb1,158,163
Dyrk3,197,124
Khnyn,186,135
Cdpf1,172,149
Lpcat1,201,120
Pelo,196,124
Bscl2,174,147
Kat14,182,138
Zbtb7b,156,164
Zfp672,178,142
Arb2a,190,131
Ppif,159,161
Armt1,198,122
Ess2,181,139
Adam15,164,156
Wwox,176,144
Eefsec,164,156
Nudt16l1,177,143
Mmp24,145,175
Lck,150,170
Tarbp1,208,111
Haus4,195,124
Kctd10,190,128
Crot,201,118
Pms2,188,130
Aff1,180,139
Btf3l4b,193,126
B3galnt1,183,136
Slc8b1,181,138
Fkbp15,182,137
Rabep2,183,135
Rusc1,167,151
Golm1,162,156
Mbip,200,118
Cd99l2,180,138
Sec24d,176,142
Lrig2,194,124
Eeig2,211,107
Dusp19,180,138
Dnajc30,166,152
Ubap1,176,142
Praf2,158,160
Dph5,185,132
Fzd2,203,114
Csrnp1,176,141
Hint2,123,194
Gtf2b,188,129
N6amt1,184,133
Coa8,153,164
Xkr6,210,107
Ammecr1,208,108
Urgcp,160,156
Wdr83,158,158
Elfn2,128,188
Ccs,164,152
Crebrf,204,112
Parm1,191,125
Slco4a1,166,150
Grpel2,167,148
Lama5,194,122
Ccdc85b,168,147
Zfp329,199,116
Cdc14b,196,119
Pomgnt1,161,154
Gmip,197,118
Hhex,194,121
Cilk1,199,116
Dna2,210,104
Pdzd4,160,154
Cnnm4,159,155
Rhebl1,202,112
Gm49378,182,132
Ift81,181,133
2210016L21Rik,173,141
Ei24,182,132
Nle1,167,146
Rnpc3,184,130
Rarg,154,159
Kcnab1,147,166
Zfp830,191,122
Tuba8,147,166
Dcun1d2,186,127
Slc23a2,212,101
Ufsp1,148,164
Ccdc107,158,154
Dbp,154,158
Timm8a1,168,144
Unc119b,158,154
Usp11,185,127
Zbtb4,194,118
Dffb,202,110
Rap1gap2,158,154
Aar2,164,148
Unc79,204,107
Arhgef3,139,172
Wdr41,176,135
Crebzf,196,115
Coq4,160,151
Pccb,158,153
Nfyc,192,118
Ptp4a3,137,174
Rnf34,178,133
Elk4,172,139
Bloc1s4,149,162
Rnf169,156,155
Rras2,168,143
Hs2st1,177,134
Ccdc137,186,125
Gm49396,150,160
Spata7,174,136
Ttc4,194,116
Nr6a1,205,105
Vax2,158,152
Ndrg4,163,147
Pspc1,192,118
Wdr91,155,154
Gprasp2,152,158
Adgra3,196,114
Rab4a,175,134
Rom1,146,163
Tefm,185,124
Efnb1,178,131
Rb1,191,118
Hycc2,182,128
Ppp1r13b,150,159
Papolg,177,132
Pdxk,166,143
Arap1,180,130
Zbtb17,181,128
Inf2,181,128
Tstd2,176,133
Gnpda2,177,132
Cdk5rap1,160,149
Tubgcp5,184,124
Gm44505,186,122
Myo6,188,120
Esco2,196,112
Trmt5,167,141
Cdkl2,161,147
Atp11b,173,135
Fzd6,167,141
Shisa7,157,151
Tnip1,177,131
Wdr7,158,149
Sertad3,172,135
Slc38a3,163,144
Cenpn,200,107
Tmcc2,179,128
Tbc1d22b,195,112
Lamtor3,174,132
Pde7a,179,128
Farp1,150,157
Wls,200,107
Plvap,142,165
Kifc5b,180,127
Lrsam1,135,172
Agl,164,143
Zbtb14,178,128
Chchd7,166,140
Zfp623,154,152
Sh3bp5,172,134
Etfdh,148,158
Mcur1,178,128
Trim56,197,108
2310039H08Rik,157,148
Plppr2,163,142
Tal1,165,140
Ccdc112,188,117
Cobll1,186,119
Pex11b,168,138
Wbp1l,160,145
Rgp1,179,126
Fxn,177,128
Mospd1,188,116
Zfp444,172,132
Pole2,203,102
Lig4,160,144
Ankrd39,182,123
Gpbp1l1,177,127
C9orf72,169,135
Rbm8a2,154,150
Slc52a2,164,140
Dzip1,202,102
Abhd14b,179,125
Simc1,186,118
Hif1an,183,121
Rfx1,169,135
Aptx,160,144
Agk,179,124
Ctdsp1,181,122
Mcm10,203,100
Shb,164,139
Ndufaf1,155,148
Rogdi,133,170
Ttll7,142,161
Nagk,161,142
Srxn1,135,168
Phlpp2,208,95
Mybl1,192,110
Slc41a2,142,160
Coa7,154,148
Tbcc,161,141
Zfp715,168,134
Eif2ak4,185,116
Cldn12,163,138
Zfp110,152,149
Psen1,174,127
Atp2b3,179,122
Ddx51,185,116
Rnd3,188,112
Gm21992,182,118
Klhl15,173,127
Lrr1,192,108
Cep295,198,102
Oxr1,154,146
Celsr3,173,127
Dhx33,175,125
Bora,212,88
Fam76b,180,120
Tfap2b,199,101
Slc37a4,158,142
Mrtfb,164,136
Fat1,176,124
Zfp945,195,105
Mipol1,171,129
Capn1,168,132
Homer2,171,129
Mtrr,147,153
Bcl9,197,102
Tfap4,182,118
Sfxn3,180,120
Tapt1,179,120
Bace1,166,133
5730480H06Rik,181,118
Mrm3,157,142
Tmem123,178,121
Dcun1d3,134,165
Dmap1,177,122
Tmem198,156,143
Bgn,177,121
Ndufa4l2,150,148
Rab2b,167,131
Epb41l5,176,122
Ndrg2,143,155
Mcoln1,171,127
Jade3,174,124
Tmc6,150,148
Reep4,168,130
Leng1,166,131
Vps33a,184,113
Dbr1,169,128
Slc4a2,193,104
Ulk2,159,138
Armc5,152,145
Dnph1,160,137
Chmp1b2,171,126
Gsn,170,127
Atg7,156,141
Bicral,169,128
Efl1,154,142
Pomgnt2,166,130
Sacs,208,88
Lurap1l,200,96
Ifrd2,160,136
Rundc1,166,129
Pak1,154,141
Rfesd,165,130
Nectin2,153,142
Fmnl1,144,151
Kif7,172,123
Zbtb24,167,128
Vwa5b1,157,138
Zfp592,172,123
Rnf150,214,80
Atp9b,171,124
Lin28a,184,110
Znfx1,168,126
Rab27a,130,164
Vps13d,169,125
Nrcam,192,102
Sphk2,159,135
Tmem216,160,134
Snapc4,176,118
Hs1bp3,166,128
Gpr180,155,139
Rnaseh2c,165,129
Zw10,174,120
Cenps,157,137
Tmem43,179,115
Scnm1,143,151
Fn3krp,149,145
Sipa1l3,164,130
Psd,166,128
Thbs1,184,110
Mtm1,170,123
Nacc2,152,141
Lzic,172,121
Msto1,179,114
Sepsecs,160,133
Gpatch11,161,132
Hspa12a,193,100
Cttnbp2nl,155,138
Cacng2,132,161
Sugp2,182,111
Runx2,150,143
Gpd1l,172,120
Gm49395,176,116
Pdlim5,171,121
Tmem127,151,141
Nrm,168,124
Nanos1,148,144
Gstcd,175,117
Mycbp,152,140
Myrip,235,57
Zfp703,153,139
Cog3,164,128
Xrcc4,165,127
Fars2,153,139
Brms1l,151,140
Usp24,181,110
Chaf1b,175,116
Oxnad1,173,118
Tmem39b,167,124
Cenpq,182,109
Fastkd2,166,125
Otud7b,180,111
Cdk19,194,96
Rabif,156,134
Hmgn5,183,108
Map3k11,153,137
Pigyl,140,150
Tmem126b,170,120
Pnkp,155,135
Sybu,176,114
Alg13,169,121
Gab2,156,134
Gpalpp1,160,130
Ccne2,181,109
Rnf213,136,154
Cep131,151,139
Ak4,154,136
Pdss2,163,126
Thada,148,142
Hcn3,171,118
Klhl29,126,163
Pcyt1b,166,123
Nucb2,175,114
Zfp639,163,126
Cenpx,145,144
Gpc6,162,127
Ippk,157,132
Ccdc92b,164,125
Stk35,180,109
Cpe,149,140
Angptl6,115,174
U2af1l4,136,152
Lrrc49,187,101
Ap4s1,151,137
Depdc1b,166,122
1600012H06Rik,184,104
Thap7,144,144
Itm2a,121,167
Zbtb22,129,159
Nfkbil1,154,134
Cant1,182,106
Acads,138,150
Ankrd16,198,90
Usp30,154,134
Dnaaf2,164,124
Uvssa,160,127
Gtpbp6,166,121
E2f8,169,118
Tgm2,108,179
Coro1a,166,121
Tk2,161,126
Orc5,189,98
Gipc2,160,127
Rcbtb2,156,131
Neu1,150,136
Mysm1,176,110
Serpinb6a,157,129
Apeh,164,122
Slc12a6,179,106
Ttf1,174,111
Flot2,143,142
Lrfn4,154,131
Mccc1,150,136
Tbkbp1,171,114
Casp2,191,94
Cul9,151,134
Zfp275,166,119
Gm49384,178,106
Zfp316,148,136
Cd320,156,129
Zbtb6,163,122
Swap70,160,125
Nprl2,151,133
Gpr108,150,134
Sec22a,167,117
Nr1d1,161,123
Pkdcc,143,141
Rad51ap1,180,104
Rnft1,154,130
Arhgef18,166,117
Hectd2,164,119
C2cd2,149,134
Reep1,132,151
Atosa,178,105
Capn7,170,113
Plpp5,158,125
Stim2,176,107
Ring1,140,143
Rnf103,160,123
Tarbp2,146,136
Gm15128,149,134
Lbhd1,149,134
Nr1d2,200,82
Adgre5,172,110
Smtn,189,93
Wdhd1,194,88
Usp28,168,114
Ankhd1,182,100
Pus7l,181,101
Dync2i2,154,128
Ifnar2,142,140
Ffar3,169,112
Ankzf1,183,98
Mpi,152,129
Cgrrf1,152,129
Hus1,159,122
Klhl26,144,137
Ago1,170,111
Atosb,154,127
Armc6,143,138
Ccne1,172,109
Mcat,144,137
Gm4924,148,132
Igf2r,102,178
Prr11,165,116
Mtmr1,163,117
D430019H16Rik,180,100
Mpp3,166,114
Rmnd1,164,116
Tars3,162,118
D6Wsu163e,154,126
Rnf217,158,122
Tmem19,158,122
Podxl,173,107
Nme6,156,124
Ddx31,175,105
Slc35a5,157,123
5730455P16Rik,172,108
Tfdp2,176,103
Rabl3,162,117
Osbpl11,158,121
Ghdc,147,132
Txnrd3,150,129
Phactr1,135,144
Pacc1,149,130
Mrs2,162,117
Pik3r4,159,120
Unc5a,121,158
Traf3,172,106
Fcho1,170,108
Gm27021,158,120
Cep89,165,113
Syngap1,154,124
Fra10ac1,157,121
Cdadc1,170,108
Slc27a4,142,136
Toe1,162,116
Mios,152,126
Dnajb5,152,126
Arsa,129,149
Pcdhac2,144,134
Tbc1d1,153,124
8030474K03Rik,167,110
Vps13c,167,110
Rngtt,174,104
Mink1,182,96
Cox6a2,68,210
Sat1,184,94
Zfp398,191,86
Phkb,166,111
Phf1,146,131
Klhl42,147,130
Guca1a,119,158
Gm50461,119,158
Nckap5l,150,127
Cog8,135,142
Cep170b,159,118
Col13a1,183,93
Cluap1,153,123
Tom1,130,146
Flrt3,144,131
Tfcp2,174,101
Snx11,147,128
Ptgfrn,154,121
Nsl1,174,101
Usf3,142,133
Slc35f6,152,124
Mvp,148,126
Styx,162,112
Guf1,165,109
Sdr39u1,150,124
Dram2,156,118
Hspg2,161,113
Ift80,152,122
Ppm1d,176,98
Rnf25,136,138
Aen,144,130
Apaf1,186,88
Strn,146,128
Spidr,168,105
Gmds,135,138
Bak1,143,130
Yju2,169,104
Trim9,151,122
Mtr,158,115
Parp16,160,113
Ung,174,99
Zfp267,154,118
Pank4,165,108
Zfp961,157,115
Spp1,193,79
Zbtb43,145,127
Fignl2,147,125
Ern1,140,132
Atad5,201,70
Zscan26,152,119
Noc3l,147,124
Rbl1,177,94
Ttc17,135,136
Slc25a15,163,108
Pdk3,128,143
Gm14296,167,104
Poglut1,162,109
Katnip,172,99
Dhx35,174,97
Dock11,180,91
Cenpt,160,110
Nme4,142,128
Prpf4,172,98
Tmem186,174,96
Acadm,156,114
Jak2,141,129
Aopep,193,77
Slc39a1,147,123
Rnf215,162,108
Fbxo6,144,126
Orai2,157,112
Diaph3,190,79
Grk5,150,120
Golga5,171,98
Pax6,152,117
Acbd4,111,158
Zbtb47,150,119
Mettl25b,166,103
Kat5,141,128
Ogfod1,152,116
Cdc25c,150,118
Zfp788,150,118
Renbp,156,112
Vti1a,168,100
Bcl7a,180,88
Frs3,146,122
Psmb8,135,132
0610030E20Rik,163,104
C2cd3,158,109
Stxbp4,173,94
Sclt1,166,101
Csad,145,122
Nars2,160,107
Traf5,103,164
Tmem179,160,107
Arsb,133,134
Prkag2,150,117
Gm49027,166,100
Ddx25,142,125
Cand2,156,111
Brca1,173,93
Spon1,172,94
Pnma2,173,93
Dusp7,133,133
Zfp777,153,113
Nceh1,158,108
Nkiras1,152,114
Ing5,156,110
Ric8b,151,114
Dnajc18,141,124
Vps9d1,138,127
Narf,177,88
Brat1,150,115
Dixdc1,183,82
Grm1,170,95
Aldh1b1,159,106
Lmbr1l,156,109
Reep6,111,154
Tceanc,159,106
Eif2ak3,149,116
Rit1,142,123
Armc9,132,132
Cep41,146,118
Zfp87,155,109
Tbccd1,155,109
Tab1,163,101
Sall2,144,120
Dop1a,154,110
Sco2,147,117
Slc30a7,157,107
Zftraf1,142,122
Dcun1d4,120,144
Rassf8,149,114
S100a1,122,141
Ankrd49,151,112
Ankrd6,119,144
Shisa3,116,147
Adm,100,162
1810055G02Rik,141,121
Pemt,124,138
Rcbtb1,150,112
Wdcp,161,101
Gnptab,168,94
Wdr76,168,94
Zfp513,128,133
Creg2,133,128
Alg14,147,114
Vgll4,177,84
Cep68,165,96
Bard1,177,84
Gba1,124,137
Cep76,138,123
Fchsd2,165,96
Ush1g,144,117
Snhg4,179,82
Mon1b,158,102
Glis2,164,96
Zfp768,124,136
Fancd2,171,89
Zfp142,165,95
Dnajb4,146,114
Uimc1,150,110
Slc25a44,148,112
Mettl6,139,121
Ppm1e,147,113
Kctd9,162,98
Acp2,155,105
Ddx55,149,111
Tcp11l1,128,132
Hltf,170,89
Coa4,144,116
Dzank1,131,128
Nsmaf,152,107
Adarb1,154,105
Dclk2,161,98
Jakmip2,144,115
Evi5l,126,133
Atxn7l2,157,102
Ubxn2b,143,116
Tcf7l2,162,97
Tmem238,143,116
Gamt,142,117
Rilpl2,133,126
Hlcs,156,103
Rps6ka6,147,112
Paox,156,103
Enpp5,117,142
Fbxo9,148,110
Amacr,122,136
Mindy1,157,101
Rbm48,159,99
Traf3ip1,159,99
Plekhm3,153,105
Yipf1,117,141
Slc30a6,135,123
Gspt2,173,84
Uap1l1,133,124
Sgsm3,142,115
Rabgef1,126,131
Ints9,160,97
Castor2,146,111
Def8,120,137
Bbs5,148,109
Kif13b,166,91
Ccl25,148,108
Cdc42ep2,120,137
Zfp105,162,96
Dcaf11,143,114
Med17,150,107
Polr1e,143,114
Cep97,171,86
Dgat1,141,116
Rab31,147,110
Sik1,172,84
Gltp,142,114
Gm20605,138,119
Olfml1,195,62
Rnf182,135,121
Trmt61a,123,133
Pop4,163,93
Epm2aip1,154,102
Phyh,137,119
Alkbh6,133,123
Sptb,107,149
Ap4m1,173,83
Trim26,136,120
AK157302,129,127
Prorsd1,123,132
Bud13,141,114
Nyap1,146,109
Mfn1,137,118
Dock9,146,109
Fam53c,158,97
Nkrf,142,113
Large1,153,102
Mettl2,144,111
Slc9a8,148,107
Ctif,148,106
Fkrp,155,99
Paip2b,144,110
Cxadr,125,129
AI837181,141,113
Lrfn3,107,147
Bmf,186,68
Wwp1,160,93
Mpp1,141,112
Traip,162,91
Cdan1,148,105
Cep70,154,99
Ercc8,142,111
Kctd6,143,110
Dalrd3,142,111
Cers1,141,112
Gm49322,143,110
P3h1,148,105
Cbr3,159,94
Rrp12,129,123
Naga,134,118
Tpra1,141,111
Myo1c,125,127
C1galt1,135,117
Zfp37,138,114
Gpatch2l,136,116
Marchf4,139,113
Tbc1d32,159,93
Gpsm2,158,94
Sppl2b,133,119
Golga1,152,100
Zfp160,153,99
Zfp942,158,93
Ccnyl1,145,106
Rbl2,145,106
Tango2,141,110
Zfp335,140,111
Top1mt,132,119
Slf1,165,86
Cntrob,141,110
Gdf1,139,112
Gm21970,134,117
Acvr2a,159,92
Zfp282,155,96
Plekhg2,168,83
Tada2b,158,93
Arf2,142,109
L2hgdh,130,121
Gm37988,150,100
Zfp729a,139,111
Ptgs1,131,119
Nrep,162,88
Dlx1,163,87
Csrnp2,144,106
Xndc1,159,91
Cpne2,160,90
2410004B18Rik,138,112
Anks3,136,114
Xlr3b,132,117
Rbbp9,126,123
Rfng,141,108
Capn15,146,103
Zfp46,140,109
Fbxo7,144,105
Rnf113a1,115,134
Pde9a,172,77
Vps33b,131,118
3110009E18Rik,144,104
Nynrin,160,88
Irf3,148,100
Rab36,126,122
Lactb,112,136
Arv1,140,108
Ercc6,142,106
Wdfy2,120,128
Tsr2,132,116
Hip1r,134,114
Chkb,126,122
Mvk,121,127
Dlg5,156,92
Mtnap1,123,124
Zfp157,154,93
Hexd,136,111
Rlig1,126,121
Fam110a,149,98
Fbxo2,99,148
Dusp2,171,76
1810009A15Rik,129,118
Cmtr1,145,101
Prxl2c,122,124
Ift140,152,95
Arhgap23,122,125
Cntrl,167,79
Nradd,149,97
Kptn,132,114
Ccpg1,145,101
Tbc1d7,110,136
Rhobtb1,137,109
Vwa8,120,126
Rgs12,160,86
Zfp236,135,111
Dcp1a,148,98
Arl16,134,111
Ogg1,129,116
Selenoo,144,101
Krba1,159,86
Sp4,146,99
Herpud2,161,84
1810010H24Rik,109,136
Cbs,162,83
Gm21972,140,104
Mlst8,146,98
Fbxo4,146,98
Dlgap3,145,99
Rusf1,158,86
Rnf26,147,97
Thnsl1,128,116
Ints12,139,105
Rubcn,142,102
Tax1bp3,146,98
Ppcs,123,120
Mettl8,148,95
Ncapd3,149,94
Ephb4,146,97
Mastl,150,93
Stk17b,144,99
Ift74,168,75
Nnt,144,99
Tmem198b,138,104
Gpank1,134,108
Adam17,141,101
Cenpu,151,91
Dpy19l1,149,93
Pigk,136,106
Aars2,123,119
Atg10,130,112
Prkab2,155,87
Apool,141,101
Zfp367,151,91
Pals1,150,92
Tti1,140,102
Comtd1,107,135
Zswim1,122,120
Atg2a,133,108
Tctn2,112,129
Kcnip3,112,129
Gpr153,159,82
Fam171a2,113,128
Mettl23,136,106
Mob2,146,95
Nt5c3b,131,110
Asic4,93,148
Lyrm9,139,102
Rreb1,125,116
Pcdha8,134,107
Pml,126,114
Coq10b,125,116
Ids,136,104
Rnf24,143,98
B3gnt2,124,117
Zzz3,146,94
Crbn,146,94
Tmed1,135,105
Peak1,165,75
Alyref2,140,100
Tmtc1,139,100
Pcgf5,138,101
Mtif3,137,102
Xpc,138,101
Igip,147,92
Jam3,143,96
Adi1,118,121
Zfp568,152,86
C1galt1c1,131,108
Rpia,108,131
Nhsl1,128,111
Crb2,126,113
Utp6,135,104
Ablim2,125,114
Fanca,158,81
Sh3bgrl,148,91
Slc25a19,129,110
Lyrm4,124,115
Ulk3,113,126
Etv3,139,100
Pecam1,132,107
Pxk,129,110
Tpcn1,145,94
Heatr5a,138,101
Rprd1a,154,84
Erc2,155,83
Polr3gl,135,103
Pias3,131,107
Slc10a3,126,112
Gm48551,142,96
Atxn7,153,85
Tsen2,155,82
Zik1,137,100
3110040N11Rik,137,100
Snph,101,136
Sp2,122,116
Fam83d,157,80
Maneal,135,102
Mtmr4,139,98
Zfand2a,109,128
C030006K11Rik,122,116
E2f5,135,102
9430015G10Rik,157,80
Cadm4,114,123
Usp40,141,96
Fndc5,121,116
Pofut1,140,97
Mfsd12,125,111
Dnajc4,123,113
Cox11,156,80
Ranbp6,149,87
Tesk1,103,133
Kif18a,153,83
Irgq,140,96
Setbp1,136,100
Asrgl1,141,95
Phactr2,135,101
St3gal5,129,107
Cdkal1,143,92
Kdm2b,145,90
Mms19,128,107
Luzp4,141,95
Trp53i13,128,107
Usp45,128,107
Slc25a14,139,96
Lrrn2,146,89
Rabepk,143,92
Ubxn8,120,115
Mboat2,122,113
Bend3,138,96
Tmem74,147,88
Pacs2,118,117
Iffo1,139,96
Nphp1,117,118
Mapk11,137,98
Suv39h2,145,90
Ypel2,125,110
Sp9,139,96
Marchf2,128,107
Zfp994,148,87
Zfp729b,137,97
Zfp958,148,86
Lrig1,112,122
Ampd3,169,65
Cnpy4,134,100
Dennd6a,109,125
Pcnx4,131,103
Zfp407,160,74
Fbf1,147,87
Hey1,143,91
Ppox,133,101
Pcdha9,122,112
Tgfb1,170,63
Smad6,168,66
Arhgap4,131,102
Orai3,117,116
Lyrm2,141,92
Snx24,127,106
Gmpr2,115,118
Taf4b,140,93
Tsen54,115,118
Det1,123,110
Gpr162,138,94
Esco1,124,108
Tfpt,116,116
Cab39l,128,104
Mad2l1bp,129,103
Frmd5,131,101
Wdr20,140,92
Ccdc102a,117,115
Neil3,164,68
Zup1,148,84
Smyd3,140,92
Arhgap33,123,109
Zfyve19,114,118
Man2b2,122,110
Cryz,152,80
Zfp322a,150,81
Nsmf,126,105
Gpr6,99,132
Serpinf1,98,133
Nat14,118,113
Dusp10,83,148
Zscan21,138,93
Naglu,125,106
Ttll4,137,94
Dexi,102,129
Adam12,134,97
Pcdhac1,122,109
Srbd1,156,74
Rnf170,118,112
Eif2ak2,135,95
Magee1,102,128
Carmil3,145,85
Mecr,121,109
Chd5,153,77
Inpp5e,117,113
Osgin2,137,93
Slc22a5,146,84
Tmtc4,140,90
Xlr4b,113,117
Gm49416,119,110
Chrnb2,115,114
Nr2c2ap,115,114
Nubpl,93,136
Slc44a2,138,91
Mef2b,89,140
Plekha8,122,106
Tango6,131,97
Sdhaf1,115,113
Klhl28,133,95
Lrrc8c,150,78
Diras1,112,116
Rassf2,110,118
Fbxo11,129,98
Lipt2,133,94
Gmppb,105,122
Lmtk3,140,87
Irs1,154,73
Zbtb41,143,84
Zdhhc24,121,106
Exoc6b,126,101
Gsdme,121,106
Ptcd1,126,101
Scamp4,129,98
Pomt2,123,104
Slx4ip,134,93
Ccnq,104,123
Bach1,137,89
Plppr3,140,86
Helb,127,99
Cln3,113,113
Fbxo44,119,107
4930579G24Rik,127,98
Zfp57,125,100
Il13ra1,156,69
Rsph9,116,109
Slc25a38,109,116
Map4k2,125,100
Vps45,134,91
Nfatc1,117,108
Pgm3,152,73
Mms22l,136,89
Zfp65,133,92
Sco1,118,106
Itgb3bp,142,83
Stoml1,107,117
Wdr55,125,99
Tom1l1,120,104
Eri2,134,90
Smpdl3b,135,89
Zfp984,144,80
2700097O09Rik,138,86
Fsd1,127,97
Smad7,165,59
Sil1,113,111
Pcdha1,119,105
Gm28043,128,96
Paqr7,114,110
Ppp2r3c,139,85
Gucy1a1,150,73
Trim46,124,99
Ttf2,136,87
Rad18,135,88
P3h3,124,99
Cpa4,160,62
Faah,133,89
Mlxip,148,74
Pkp2,117,105
Slc24a2,88,134
Zhx2,117,105
Ttll5,131,91
Hmx2,130,92
Zfyve9,105,116
Niban2,150,71
Stn1,112,109
Nfrkb,120,101
Fgd1,139,82
Dars2,118,103
Rbak,134,87
Gm14418,136,85
Ripk2,121,100
Optc,137,84
