gene,undiff_rep1,undiff_rep2,undiff_rep3,diff_rep1,diff_rep2,diff_rep3
Slc9a3r1,886,1019,786,1131,1115,778
Traf2,983,1052,1146,952,626,672
Mrpl33,1063,1034,1130,681,844,755
Nfkbia,801,759,916,1188,753,889
Tbc1d22b,744,959,827,950,1535,908
Ccdc71,931,998,841,869,723,791
Crlf3,1414,854,715,808,775,660
Rdh13,1035,1169,1089,537,721,526
Gpr89,1298,920,703,837,873,1020
Mcoln1,1361,802,843,964,995,880
Agk,682,869,777,862,1028,1039
Snapc3,951,1476,878,725,1015,682
6030419C18Rik,583,615,686,1188,951,1074
Keap1,868,838,713,901,700,603
Svop,531,594,587,1096,1129,1426
Lysmd2,873,855,1181,803,753,867
Zfp407,1153,699,1303,777,877,875
Sowahc,971,922,1145,848,1202,1142
Prpf39,1008,1135,1198,1013,784,796
Timm22,953,1299,1040,925,842,887
Pdss1,1184,1047,1662,504,556,458
Hus1,1025,798,1007,715,742,608
Ica1,916,930,986,767,983,733
C030006K11Rik,962,799,1080,892,1154,842
Zgpat,1066,974,1020,873,579,882
Ric8b,669,785,734,903,1226,711
Clk3,925,831,860,977,774,834
Jmjd4,1358,918,1413,835,754,811
Arl13b,998,1095,1042,826,943,793
Ranbp6,553,602,680,1351,1006,1051
Mxra8,596,719,493,1294,1240,1334
Nkx2-5,991,1208,997,853,625,639
Itfg2,561,853,956,1138,744,939
Zdhhc4,746,651,678,796,1017,934
St7l,806,700,840,899,1256,1097
Sema3f,754,646,670,832,953,1058
Ss18l1,870,601,686,968,1087,1638
Ubald1,967,1112,866,882,843,986
Unkl,910,1060,675,929,933,1097
Mpi,629,736,1177,639,926,850
Mcts1,659,889,1110,944,618,755
Apoa1bp,687,667,598,1027,963,1044
Tmem237,1074,1093,1532,976,1060,789
Psmd10,740,789,913,721,1253,687
Mynn,742,1213,774,985,798,964
Csrnp2,1090,1016,1070,969,1102,848
Zbtb44,604,1214,930,992,978,666
Riox2,691,897,897,828,593,1305
Prpsap2,833,1107,947,706,840,935
Wls,719,674,551,891,1329,910
Tmem115,763,1122,964,682,1155,1168
Gpbp1l1,539,785,732,1235,948,838
Gm14325,786,646,606,991,906,1240
Pdik1l,605,631,768,1063,741,793
Rbmx2,1230,976,879,706,614,606
Mns1,1204,1367,1463,688,383,682
Fnip2,837,854,1063,901,960,945
Frmd5,847,772,620,1092,966,910
Bbc3,444,590,448,1060,1287,1700
Polr2d,1159,1344,814,962,946,813
Nfil3,886,593,577,971,900,1012
Vps9d1,809,904,645,797,705,930
Gkap1,1089,1303,849,805,687,1046
Cox10,860,861,745,522,920,627
Ephb4,1231,945,1211,575,549,1030
Prmt2,657,673,943,1074,1273,1299
Scn3b,742,923,743,780,730,1142
Haus8,1048,965,1073,655,866,714
Tbc1d17,719,781,719,882,891,930
Acer3,643,948,449,859,850,968
Psmg3,929,1079,644,973,1083,1131
Tbc1d5,924,662,1060,752,1212,673
Kctd10,862,672,907,699,694,776
Mpst,843,676,1107,805,927,923
Zswim4,576,774,764,1080,921,1277
Rnf5,1005,857,1162,762,975,581
Tarsl2,1129,791,1131,723,845,802
Pkp2,850,839,677,903,1259,930
Mapk11,970,847,1156,1011,906,1001
Cit,866,889,1219,997,571,598
Dcaf11,649,803,742,943,958,1288
Zfpl1,802,1060,834,789,862,1278
Impa1,762,1024,792,799,847,680
Hist1h2ao,969,1369,1629,698,479,506
Hist1h2ap,1428,1227,1028,463,578,546
Efl1,761,1185,914,888,638,792
Phc3,1020,595,676,818,1020,933
Gmeb1,744,786,897,752,725,811
Daam2,1626,1376,1802,244,183,262
Smim14,500,888,643,1175,1394,895
Lhx1,827,1060,998,793,820,1044
Supt4a,742,734,903,780,889,714
Fam222b,827,757,1018,840,855,958
Cog6,753,856,645,1042,1128,1008
Grpel2,809,889,775,690,1090,740
E330009J07Rik,614,658,304,1134,1275,1116
Tmem185b,1093,766,1050,1078,663,885
8030474K03Rik,828,684,1118,990,815,808
Mzt2,981,938,662,939,1153,1235
Scaper,653,807,544,1352,1471,1006
Bicd1,862,658,858,933,841,764
Nipsnap3b,1208,584,682,1018,615,908
Tmem74,524,712,986,1322,916,1037
Apc2,622,503,973,880,800,865
Shkbp1,620,926,904,999,691,799
Recql4,921,792,1038,535,759,777
Vezt,660,788,665,903,1212,825
Sumf1,1538,734,617,947,771,813
Mccc2,874,843,626,907,724,890
Rnf166,984,806,629,1291,938,1010
Btrc,990,759,774,962,1130,929
Cdkn2d,809,731,1092,1141,1027,696
Nova1,938,1017,763,753,827,846
Sec22c,1157,661,931,860,888,872
Rnf165,603,755,838,1027,985,887
Pccb,733,634,1000,684,910,1288
Bcs1l,902,752,1000,822,982,896
Pacs2,633,891,992,901,716,831
Enkd1,856,1068,645,642,920,697
Cdca4,1134,1173,990,559,667,539
Pkia,717,500,688,935,1111,853
Mtr,826,832,982,614,720,596
Epm2aip1,633,715,780,942,1227,897
Bcl10,821,899,1017,658,1003,737
Plekhm2,738,748,844,973,859,1126
Dhrsx,1081,1208,797,471,688,737
Spryd7,825,786,749,634,1061,796
Flrt3,620,715,512,1036,919,1198
Usp33,683,1072,1081,877,948,737
Narf,438,564,572,1099,1196,1259
F2rl2,796,728,956,724,1231,937
Gchfr,584,890,806,874,809,924
Armc9,985,1021,782,581,1129,527
1810037I17Rik,857,1081,949,777,724,815
2610002M06Rik,679,674,661,1210,734,733
Ubxn2a,1031,1002,711,818,718,857
Ttc4,741,1117,626,713,1040,895
Zfp787,687,764,956,982,877,731
Ttc33,710,824,762,1119,695,938
Polr1e,1046,996,856,540,547,491
Fcf1,1534,1105,843,858,1025,683
Hltf,666,674,971,663,517,680
Stx18,844,1133,825,900,633,611
Cblb,743,854,736,1027,1077,908
Fam177a,865,704,660,808,1049,1094
Katna1,773,871,954,674,784,875
Efhd2,626,1198,911,1087,699,817
Dhrs7b,1182,1002,1298,1006,1112,704
Tigar,781,1075,811,955,568,652
Eefsec,821,1035,503,926,925,1154
Akr7a5,708,937,773,822,716,942
Mbd5,569,795,768,1107,1349,1052
Mtg2,867,1242,1006,696,497,512
Zfp282,961,917,935,851,768,974
Txnrd3,939,727,934,962,915,1007
Rnf103,621,798,956,1097,1088,1438
Fam45a,798,1058,667,923,803,974
A430005L14Rik,884,898,1168,680,814,1348
Faxc,818,875,839,1166,986,1013
Uckl1,628,664,594,1020,692,1205
Snrnp25,1124,1187,1356,590,690,616
Mrvi1,578,604,853,1057,1094,973
Sec11c,873,896,680,720,951,838
Nr2f2,931,1279,1076,569,715,819
Armt1,966,1084,1122,573,568,607
Tjap1,751,781,699,502,624,963
Vps33b,1176,1003,765,594,741,903
Zkscan3,667,738,703,1150,1001,831
Rbm7,1008,1169,860,752,692,733
Bak1,1005,732,1180,396,598,593
Il11ra2,1061,875,1071,717,670,834
Sike1,500,888,588,1169,966,730
Klhl22,1100,612,472,687,886,879
Fam118a,881,808,795,887,516,993
Tagap1,596,815,803,748,1135,1244
Fbxo7,664,659,698,919,941,1022
Ebag9,1175,749,1021,807,949,929
Slc4a3,848,825,993,1011,858,1115
Pml,635,622,993,758,692,969
Zfp942,693,653,626,854,800,920
BC017643,917,993,942,786,846,1197
Klf11,447,516,494,1270,908,981
Numb,716,806,1017,949,1218,1170
Gfod2,723,761,926,696,754,1079
Plppr3,714,570,547,992,1347,1498
Azin2,609,686,750,928,823,1393
Tmem267,1025,878,920,798,874,829
Brms1,850,1191,951,669,752,690
BC034090,511,631,471,1114,1270,1100
Cep41,1019,634,1020,792,812,790
Camk1,779,625,789,1158,923,1106
Dsn1,746,1321,1156,544,841,664
3830403N18Rik,892,970,771,907,958,735
Naglu,756,653,819,1240,877,663
Nrsn1,934,792,951,693,610,545
Cdc37l1,978,835,754,804,688,757
Sgk1,920,1282,1090,742,875,636
Hacd1,754,1028,801,690,1145,832
Slc25a44,720,1003,725,631,741,855
Sik1,850,726,900,610,867,722
Iffo2,672,559,952,820,996,1241
Cdk5,585,674,805,1153,940,913
Exosc3,956,763,903,560,682,669
Acsf3,515,692,570,1069,1165,1000
Dpy19l3,962,788,827,724,683,904
Rhbdd3,758,845,764,1236,670,975
Scand1,609,710,569,767,999,1037
Reep6,569,446,466,1488,1016,820
Ptprn2,623,499,422,940,1543,1025
Id3,2082,1796,1337,6,5,6
Thyn1,601,793,724,1142,985,724
Cnrip1,977,736,669,785,765,1003
Gm14432,786,756,778,948,719,816
Pgap1,900,650,1220,886,1012,711
Alkbh8,808,640,1265,648,860,764
Slc6a15,1266,1134,1066,315,361,460
Ing3,1161,936,895,566,664,883
Saal1,1011,1266,1029,724,539,1091
Iqsec1,497,579,508,920,1162,831
Nufip1,792,755,689,1025,603,617
Zfp64,833,830,797,748,510,695
Hlcs,681,494,521,1262,1014,1336
Cby1,1132,812,669,840,644,945
Zfp367,897,1076,1128,826,496,462
Tmem186,823,825,822,1045,845,701
Napb,368,417,340,1194,1364,1829
Arhgef3,659,914,1011,897,748,977
2310022A10Rik,1035,1098,931,465,699,561
Timm9,1012,753,1256,763,815,599
9530082P21Rik,659,994,805,659,564,937
Usp50,855,866,1080,708,537,532
Ppp1r16a,1104,963,839,862,1001,724
Dnal4,819,794,745,750,884,839
Pole2,1223,1515,936,623,654,448
Chmp1a,710,769,618,698,909,941
Acvr1,914,971,826,559,877,673
Snrnp27,914,809,963,560,663,808
Hps1,628,807,800,844,875,1020
Ostf1,672,874,959,715,966,828
3110043O21Rik,746,718,592,983,821,1004
Rcc1l,1159,1154,1290,754,569,475
Hs1bp3,543,956,708,923,1000,1409
Nprl3,1016,1133,709,949,928,986
Tor1a,1017,1182,859,920,707,748
Bmf,649,695,744,585,1109,806
Golga5,851,844,887,728,629,820
Snx19,793,831,557,795,579,967
Mrpl35,986,657,671,1028,880,615
Ippk,1039,1264,1035,810,436,636
Gcc1,539,532,750,1004,1032,1321
Cdh11,557,768,599,821,1246,880
Dopey2,554,374,456,1280,1374,1196
Dnajc18,639,647,740,1271,1449,926
Rab11fip2,706,767,663,953,674,983
Jph1,827,864,740,704,746,767
Errfi1,1073,708,600,969,1056,684
1110038F14Rik,630,703,640,640,741,927
Zfp868,991,972,887,762,741,728
Stard10,625,722,729,1069,922,821
Mlxip,973,882,922,650,661,858
Phyh,754,708,490,999,1196,1162
Them6,728,602,602,543,784,873
Fn3krp,813,800,676,1170,985,939
Dhrs1,602,800,583,981,1028,1001
Tmem123,758,1106,756,911,772,814
Dock9,627,710,801,902,1018,1062
Pim1,721,772,1107,1062,650,653
Akap17b,498,709,628,1328,1082,765
Ythdc2,991,1241,894,752,991,908
Trpv2,605,470,551,1208,1705,1045
Sdf2,603,593,647,703,1064,860
Tle1,506,645,800,1009,1413,1297
Fam172a,1135,706,563,1091,848,689
Timm8b,1074,622,1022,671,872,849
Rabgef1,881,549,881,750,584,664
Secisbp2,664,640,759,763,1088,857
Zbtb17,711,713,596,898,654,847
Mmp24,450,470,457,1230,1029,1293
Ccnl1,683,745,664,594,1038,641
Hist1h2ag,1509,1183,914,545,605,444
Trnau1ap,802,1008,763,769,823,932
Tmem160,975,1560,873,697,885,748
Zfp398,628,890,750,795,728,782
Rcbtb1,738,738,757,667,996,762
Rpp30,878,1218,997,621,584,635
Ccdc93,838,805,1083,652,716,564
Plat,781,880,816,616,1157,668
1700021F05Rik,797,1005,708,743,838,883
Abcd1,699,766,569,1166,1211,1020
Dera,943,726,807,656,653,726
Pi4kb,1011,641,1010,793,869,882
Lrrn4,1058,1160,1198,494,435,364
Lgals8,532,728,825,982,1253,1038
Fkrp,801,1176,862,743,1021,740
Vgll4,982,851,1023,1109,1004,1193
Ecsit,824,860,657,736,811,486
Nup37,1053,968,783,567,380,571
Rfng,783,743,865,824,924,675
0610007P14Rik,744,556,758,1042,1094,837
Sptlc1,871,667,675,950,759,644
Tmc6,538,569,578,959,1081,839
Cntn1,383,410,366,1235,1103,1132
Cab39l,1005,750,957,791,871,686
Fzd3,918,765,647,761,947,671
Ralgps1,667,544,465,926,1005,1402
Mrpl23,941,783,724,771,882,950
Zfp672,788,781,716,817,855,878
Ampd3,815,923,885,720,764,658
Stxbp4,915,785,763,531,985,1109
Fam57a,775,603,1104,517,737,914
Sgol1,991,1058,899,608,651,433
Foxn3,573,818,739,737,748,1094
Coq6,832,806,759,700,698,546
Prkag1,817,962,1348,608,792,743
Rest,678,749,727,908,934,765
Cep57l1,880,819,885,861,633,851
Itgb1bp1,790,778,991,790,799,777
Pla2g12a,645,783,572,727,901,751
Wdr83os,782,878,941,938,766,779
Simc1,762,678,937,639,633,627
Pwwp2b,834,578,565,1324,871,1035
0610009B22Rik,719,895,594,747,715,608
Zfp65,756,791,679,833,680,1141
Baiap2,595,775,682,600,774,1088
Atad2b,798,716,720,750,639,721
Zfp946,724,686,651,696,690,967
Ebp,826,905,945,633,894,999
Rgs12,657,774,631,990,855,1072
Dock6,761,746,609,1254,743,961
Fbxo10,876,579,678,830,809,780
Nsmaf,831,824,1081,584,821,716
Mrps28,860,815,727,473,730,1002
Acot2,438,385,378,991,1043,1182
Ccndbp1,1146,608,930,904,939,966
Dnm3,777,510,400,780,1012,993
Ifi30,844,591,720,681,935,1014
Pgm1,933,902,1036,970,1046,1106
Efr3b,831,1087,917,780,715,580
Mical2,730,884,669,1026,822,976
Prkce,659,557,635,783,1200,1087
Cables2,664,573,730,808,886,1065
Bet1,655,802,667,671,909,776
Abt1,741,789,841,685,682,751
Exosc8,1100,957,914,545,680,834
Ift20,789,712,807,901,1105,600
Gins1,785,864,1195,495,425,386
Mipep,898,1112,779,767,631,819
Il17rd,1453,908,1137,481,439,432
Pirt,486,415,561,1230,1002,740
Fchsd2,792,881,947,773,771,928
Pdcd2l,618,663,792,738,654,752
Pomt2,883,927,658,718,849,555
Gorab,658,857,814,1129,1020,668
Rnf217,482,645,866,952,864,962
Msto1,845,841,1129,582,761,579
Mfap3l,1109,573,937,729,1143,809
Kif13b,774,704,675,664,552,718
Zfp821,602,770,1074,819,866,1035
Firre,752,684,760,861,753,1061
Kat8,761,595,775,850,930,926
Ndufaf3,949,583,720,1164,1014,767
Lztfl1,639,691,883,683,788,646
Vps37c,554,730,515,853,796,1227
Mknk1,474,545,601,1366,977,1131
Dlx2,1171,1291,857,372,461,422
Aldh6a1,538,476,687,885,1088,1287
Gltscr1l,839,897,734,1071,1241,1013
Dfna5,569,845,659,681,987,779
Sppl3,622,938,602,918,920,889
Pomt1,701,618,686,726,1012,1141
Celsr1,508,488,579,1298,1348,832
Znhit6,1013,1133,930,883,885,573
Taf1d,826,656,909,600,689,634
Rfc4,864,1223,895,450,488,512
Rgmb,697,645,791,980,1056,666
Stambp,718,717,578,795,769,887
Gemin8,1374,882,756,574,708,780
Gas1,641,813,705,783,718,875
Hyal2,1100,771,740,705,524,672
Rb1,574,653,682,1140,992,787
Gba,604,758,492,1043,900,946
Slc35e2,663,853,558,997,900,776
Hibch,656,566,784,1011,861,1229
Zfyve1,519,752,523,912,1055,1145
Nbn,871,1184,1052,493,733,590
Aasdhppt,773,940,844,885,891,796
Isca2,704,675,863,682,781,567
Slc25a32,1028,1147,1029,821,718,619
Mtmr14,754,842,929,751,713,994
Epb41l5,840,994,817,630,665,664
Mrps11,1146,881,829,738,756,962
Myt1l,842,743,964,812,857,812
2310011J03Rik,886,767,702,768,511,606
Zfp961,844,766,716,650,587,657
Pi4k2b,934,1086,734,674,723,742
Ccdc12,904,718,707,576,685,762
Tmem179,673,700,969,850,731,679
Cpne2,854,743,890,656,929,852
Gltscr1,945,688,660,886,903,812
Mysm1,976,560,612,812,732,485
Litaf,575,563,546,1129,784,1303
Cacng3,397,496,544,1126,1271,1002
Iffo1,587,844,841,777,985,927
Dnph1,1119,1230,1047,442,472,318
Ppm1h,632,461,647,1172,741,797
Srbd1,861,738,1026,769,734,748
Wdr55,851,834,692,593,390,778
Zhx2,857,685,807,979,968,986
Apaf1,795,785,1132,852,588,777
Ercc4,936,841,861,682,635,701
Itpripl1,1188,797,998,590,516,477
Coq3,598,805,943,873,827,821
Plekhm1,723,852,765,847,765,878
Tecpr2,612,427,699,931,937,679
Mkks,736,870,947,888,723,668
4933431E20Rik,498,725,902,935,916,825
Nme7,659,944,732,706,678,746
Uggt2,856,814,770,740,635,577
Npm3,854,908,842,595,572,619
Psme2,773,778,775,654,717,612
Gps2,653,808,814,629,642,945
Pomgnt2,661,714,656,649,695,747
Vars2,710,986,783,765,860,864
Cep57,637,1005,821,595,836,672
Six4,469,743,795,680,791,1129
Ppp1r37,756,630,857,1034,688,758
Ppp2r3c,759,683,737,773,724,756
Cenpm,826,1177,996,674,516,695
Mis18a,1031,879,996,626,499,458
Il17rc,790,844,606,1105,677,828
Ankrd26,1340,771,1054,565,496,458
Ccdc90b,587,999,823,558,1025,805
Pdia5,889,995,570,809,621,813
Ift81,963,605,556,870,981,720
Lsm3,1045,958,1261,385,534,612
Stk11ip,1101,599,1099,437,971,600
Gm7977,505,794,677,899,595,502
Sac3d1,1158,1109,735,776,628,590
Nsrp1,778,871,604,958,803,805
Agbl5,540,723,911,1020,591,1017
Zfp948,986,1234,887,842,627,795
Psmd9,917,844,748,852,812,681
Adi1,948,828,661,828,643,767
Anapc13,1026,793,950,848,763,830
Tamm41,1027,1149,953,552,382,630
5730455P16Rik,537,972,786,952,1204,818
Slc25a37,695,819,728,879,761,992
Slc35e3,761,576,891,705,813,965
Lhx2,776,754,796,706,1062,764
Irak1bp1,755,1153,845,1020,977,747
Fmnl1,482,591,453,1593,817,828
Zfp771,944,743,1106,910,616,595
Naaa,700,706,833,762,753,884
Mrps21,1132,587,635,729,594,756
Nr1d1,1094,840,1014,942,867,792
Dync2li1,463,490,451,1062,1213,781
Grk5,711,721,874,728,581,915
Spidr,622,714,893,1030,970,812
Gm4924,545,594,673,878,752,836
Tbc1d12,832,1021,634,780,784,838
Mdp1,591,916,599,832,1010,566
Wdr34,610,702,865,711,765,727
Rn7sk,669,718,614,988,1064,723
9330159F19Rik,765,895,668,640,881,827
Dpcd,659,671,732,835,803,832
Nfatc1,694,688,661,899,852,964
Flrt1,1089,803,767,799,653,565
Msantd4,803,974,591,888,836,600
Cep162,776,740,667,658,1245,799
Atg9b,807,687,825,981,890,708
Lamtor2,623,696,732,900,964,966
Fam216a,859,710,790,709,606,960
Snx14,544,722,833,830,953,1073
1110059E24Rik,938,687,1008,594,833,653
Dbr1,1110,882,1125,527,513,663
Sdr39u1,582,525,760,857,983,659
Six2,953,624,838,1270,635,828
Ppil1,790,893,1168,599,571,528
Zfyve26,813,610,700,887,837,531
Tom1,756,563,872,582,805,789
Dtd1,606,638,741,656,735,1075
Rgs7,608,727,893,697,622,641
Sgol2a,976,655,811,470,478,786
Lig4,785,876,654,711,751,513
Tubgcp4,739,802,1100,821,715,647
Khnyn,569,409,655,1327,1033,1013
Slx4ip,565,693,627,996,664,734
Atraid,648,703,538,770,914,1067
Diras1,478,479,580,961,1289,1394
Mtmr12,545,768,732,649,660,665
Zfp26,708,674,684,646,1117,636
Plekha8,585,822,938,615,845,770
Katnbl1,555,684,961,695,737,568
Gm14139,653,660,745,676,781,890
Galns,599,668,792,997,797,894
Mrpl46,984,845,625,638,849,741
2610318N02Rik,872,793,855,508,569,574
Fundc1,863,635,1152,855,739,1158
Gprasp2,792,545,706,914,938,832
Coil,999,828,1101,1153,581,530
Tmem19,814,484,558,766,744,717
Pigp,701,498,948,901,1236,696
Snap29,652,561,575,616,767,1123
Gmnn,1138,994,1135,454,487,486
Ntpcr,739,960,665,1154,661,702
Inpp5e,702,800,574,930,722,702
2610021A01Rik,801,1038,935,938,549,543
Rpp14,602,798,461,522,909,626
Zxdc,710,833,730,751,992,1035
AU019823,823,825,774,750,662,832
Haus1,712,910,802,499,602,671
Sh3bgrl,711,846,539,712,769,686
Zbtb40,864,616,601,580,556,863
Zfp120,597,416,496,1014,886,807
Polh,1050,744,758,545,571,632
Iqce,823,921,718,771,1017,795
Mrpl14,577,879,573,594,782,1153
Cep135,852,930,789,557,595,460
Ubxn2b,890,786,591,927,723,667
Mrpl52,977,808,1199,764,828,712
Zbtb22,890,743,756,808,633,1113
Sirt2,445,540,390,747,782,1094
Adprhl2,697,808,794,753,817,759
Brat1,841,627,1200,766,666,585
Fam83d,1263,1287,1070,676,479,542
Tspan17,592,414,479,1100,946,905
Nepro,769,774,1000,560,1038,530
Fdxr,802,817,1211,614,482,712
Mre11a,686,705,1230,546,574,680
Rybp-ps,964,816,881,686,548,832
Mpp3,503,466,446,708,1087,887
Ppm1d,1017,757,812,581,516,873
Cept1,760,653,476,783,1091,964
Zcchc10,959,942,679,897,559,506
Rhox1,512,704,905,1005,610,774
Faim,596,831,650,785,756,879
Msantd3,967,631,792,742,448,679
Dars2,639,792,904,685,604,596
Dennd6a,644,619,782,912,858,765
Paqr4,770,784,675,692,807,666
Sdccag8,773,631,869,950,666,799
Mrpl41,937,1136,765,807,572,631
Selenos,795,757,859,722,776,679
Zfp994,611,562,630,1044,722,803
Zbtb34,656,1013,639,834,981,1017
Coq10a,593,612,575,1029,867,842
Dcp1a,840,719,893,615,532,661
Commd5,778,938,943,759,673,746
Tmem43,1028,771,862,540,452,518
Cdan1,652,849,1097,524,579,907
Mcat,954,897,605,725,588,807
Plxnb1,710,595,796,1133,743,626
Pkmyt1,1011,765,650,695,628,620
Apopt1,691,803,414,996,1083,894
Trim26,802,944,515,885,615,893
Tmem179b,1039,786,928,648,721,577
Xpc,675,732,730,591,845,690
D6Wsu163e,758,905,765,610,470,673
Rnd3,737,588,650,518,702,806
Fgfr3,596,509,504,978,1052,648
Zbtb39,547,635,589,740,768,749
Zc3h3,598,431,603,883,1084,1119
Polr3d,853,537,923,636,700,634
Banp,595,638,684,1138,568,862
Hira,757,920,776,651,707,820
Brf2,533,789,676,818,894,640
Bex1,963,938,766,799,630,578
Disp1,670,384,701,986,1374,929
Rab24,945,659,582,770,760,861
Lonrf1,494,730,634,1147,962,1201
Sncb,216,228,325,1094,1175,978
Wdr47,735,557,548,786,930,1072
Slc22a17,382,547,448,698,821,820
Itpr1,808,779,729,720,585,935
Timm8a1,777,986,729,573,676,651
Ankra2,589,625,574,793,600,866
Smoc1,735,875,630,676,826,636
Ttc8,805,903,1073,737,633,670
Nol3,803,604,611,1039,873,1025
Rnft1,864,724,1024,1109,795,814
Zc2hc1a,481,686,589,781,1060,776
Gdap2,860,644,725,838,853,820
Dgat1,501,753,622,932,875,952
1500011K16Rik,741,895,704,946,765,629
Tmem192,509,752,1034,759,690,635
Grhl2,515,478,751,780,1028,1325
Flcn,904,775,741,752,583,960
Nedd1,822,971,626,498,500,565
BC048403,653,856,679,740,812,692
Pop1,859,724,1135,449,510,688
Cdkl2,358,341,403,1114,1182,1208
Cars2,1096,839,809,750,497,381
Ghdc,507,802,731,855,763,858
Pcbd1,518,583,684,890,1231,646
Nrcam,654,692,518,1013,760,1041
Nes,742,1014,1027,548,455,367
Nphp1,651,979,801,824,483,808
Dyrk1b,489,425,462,801,1120,1148
Cenpt,795,601,777,542,661,430
Pgpep1,520,541,513,1168,746,1116
Pam16,684,815,771,593,776,633
Dnajc27,671,991,887,646,818,639
Klhl12,607,760,716,947,756,688
Wwp1,795,741,961,576,869,588
D430019H16Rik,720,464,545,602,1031,960
Rnf25,875,744,736,610,710,838
Cib1,632,688,681,872,579,737
Ppwd1,753,1088,928,706,557,503
D430042O09Rik,743,777,543,890,827,715
Ccdc58,542,588,952,1060,728,693
Lnx2,785,567,814,748,455,565
Donson,857,849,1182,378,495,534
Stat5a,525,674,839,579,668,824
Ska2,727,735,684,556,563,333
Zbtb43,762,657,756,520,930,1046
Ube2f,561,933,843,818,490,754
Ogfod3,599,807,707,510,599,963
Tango6,656,547,827,707,873,796
Akr1e1,650,685,554,663,650,644
Mlh3,525,694,807,855,919,799
Sufu,922,739,806,979,852,727
Lca5,690,811,708,718,827,683
Shisa8,419,490,282,633,1238,919
5033428I22Rik,663,1104,826,642,652,792
Fam133b,709,839,624,547,561,583
Smad9,935,986,1456,319,297,370
Fkbp10,990,745,988,822,656,553
Hddc2,617,681,473,774,806,649
Supt7l,664,959,523,664,830,688
Upf3b,975,917,892,473,611,595
Dmap1,619,780,898,543,701,569
Nfrkb,845,799,798,531,859,476
Tada2b,743,690,788,668,621,708
Ranbp17,659,789,804,734,687,613
Fastkd3,978,697,1175,593,446,609
Acot9,564,847,820,627,894,804
Epdr1,672,657,485,886,814,762
Timm10,756,922,1151,476,530,585
Tfcp2,686,554,779,953,503,822
Slc33a1,915,691,725,559,610,882
Pde7a,775,640,690,534,857,647
Twf2,668,793,984,693,559,497
Gtpbp8,697,673,795,643,621,516
Zfp386,616,709,642,981,718,905
Mrs2,595,873,931,617,882,641
Uchl4,639,984,743,685,619,682
Gtf3a,892,748,868,568,552,493
Deaf1,807,700,543,861,1083,684
Golga1,502,572,652,934,660,856
Arsb,544,695,913,686,1106,837
Dzip1,568,452,394,628,738,859
Ddx25,631,795,495,696,698,823
Zfp444,536,594,778,870,917,973
Scfd2,973,984,716,706,601,611
Gm14124,537,614,801,673,682,638
Procr,368,319,453,1554,1082,1038
Pim2,968,755,697,674,669,598
Gm15128,383,566,504,1122,721,831
Crlf2,607,573,719,830,1269,724
Zfhx2,928,1001,993,415,502,467
Man2b1,742,893,956,640,802,696
Herc3,590,799,666,874,636,698
Srxn1,682,672,801,845,763,667
Ston2,378,354,439,965,862,968
Urod,680,688,552,1113,1212,614
Helb,914,511,703,616,522,416
Krba1,594,764,571,851,747,900
Rprd1a,435,581,699,1017,921,768
Stat6,660,588,863,670,694,1006
Fam43a,540,608,562,720,1034,1109
Taf1c,821,734,811,620,687,763
Tex264,499,646,504,904,819,793
Zcchc12,309,271,391,1047,965,1417
Mpped2,482,533,617,867,790,719
Slc39a14,434,636,526,682,749,627
Sfxn3,678,645,604,994,651,922
Slc29a3,697,459,395,1043,906,1024
Ints12,523,1016,626,690,798,681
Rph3al,324,347,319,1407,1118,1064
Cbs,913,1198,636,546,552,534
Mrrf,756,618,474,594,780,722
Ung,1168,1002,1056,288,361,378
Rad51ap1,1170,837,1039,439,509,463
Brms1l,700,629,781,792,833,636
Blvrb,720,735,578,677,757,681
Zscan26,714,834,569,934,692,584
Fam126b,594,664,667,1164,819,691
Serf1,805,566,787,652,1120,605
Hmces,908,859,984,617,516,602
Stil,1053,784,911,449,629,514
Zfp1,625,425,571,951,916,689
Ndufc1,874,758,835,498,737,670
Stk17b,714,643,924,644,836,510
Carmil3,714,606,611,700,699,632
Mtx1,493,802,653,646,709,624
Med21,590,668,650,746,706,758
Chpf2,863,736,949,585,654,767
St7,510,739,711,744,748,721
Nrbf2,719,840,667,1002,811,693
Spc24,691,1223,968,536,486,387
Klhl17,899,723,927,783,1022,802
Fggy,595,568,424,1160,791,707
Bcl9,649,906,604,672,623,715
Stx4a,602,510,545,1013,834,705
Brf1,874,890,893,561,612,581
Ppif,941,764,550,504,752,650
Osbpl5,607,626,641,731,725,945
Rab39b,448,656,450,857,571,884
Tspan15,469,510,586,789,814,829
Tmem106c,692,648,551,721,688,681
Rce1,801,636,672,769,641,773
Lpp,530,634,676,860,695,975
Tgm2,351,267,321,1013,1416,1090
Phlpp2,677,815,567,555,605,1062
Terf1,905,983,972,650,581,459
Cd3eap,650,843,828,657,557,512
Klhl11,568,618,711,755,648,864
E130308A19Rik,674,606,771,905,725,577
Tmem176a,494,576,402,868,672,729
Ehd4,938,687,1017,632,383,644
Prr5,807,487,680,1011,1038,770
Lipo3,700,886,1118,697,682,618
Hars2,756,709,525,806,606,600
Timm21,660,590,854,662,718,784
Iqcb1,551,423,932,1042,696,729
Ccdc85c,690,657,760,859,646,688
Bard1,707,682,934,465,657,361
Opcml,161,242,222,1493,1270,1124
9430015G10Rik,967,761,566,672,647,657
